2021-02-10 | 10:35:32.408 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:32.615 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | MultipartFile -> File로 전환이 실패했습니다.
2021-02-10 | 10:35:32.617 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:32.821 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:32.983 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLatitude: must be greater than or equal to -90
2021-02-10 | 10:35:32.986 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:33.157 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must be less than or equal to 180
2021-02-10 | 10:35:33.159 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:33.330 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[4].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[3].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[0].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[5].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[2].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[1].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[6].elapsedTime: must not be null
2021-02-10 | 10:35:33.331 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:33.475 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-10 | 10:35:33.476 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-10 | 10:35:33.479 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:33.645 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must be greater than or equal to -180
2021-02-10 | 10:35:33.647 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:33.773 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-10 | 10:35:33.773 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-10 | 10:35:33.777 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
